iter	Passed	Remaining
265	37789	104277
266	37928	104126
267	38085	104024
268	38204	103820
269	38353	103697
270	38518	103617
271	38668	103495
272	38800	103325
273	38972	103261
274	39102	103087
275	39250	102961
276	39411	102867
277	39564	102753
278	39719	102643
279	39863	102505
280	40004	102359
281	40153	102235
282	40308	102123
283	40444	101965
284	40580	101806
285	40709	101631
286	40858	101505
287	41001	101364
288	41144	101224
289	41308	101135
290	41458	101011
291	41608	100887
292	41756	100756
293	41883	100578
294	42050	100493
295	42196	100360
296	42360	100267
297	42497	100110
298	42673	100047
299	42831	99941
300	42969	99786
301	43151	99735
302	43314	99638
303	43454	99488
304	43620	99398
305	43788	99310
306	43928	99160
307	44062	98996
308	44190	98819
309	44364	98746
310	44500	98587
311	44651	98462
312	44799	98329
313	44953	98211
314	45106	98088
315	45253	97953
316	45389	97794
317	45522	97630
318	45653	97460
319	45777	97277
320	45931	97158
321	46061	96986
322	46216	96867
323	46399	96808
324	46565	96712
325	46713	96580
326	46858	96439
327	47016	96326
328	47168	96200
329	47325	96084
330	47471	95946
331	47600	95773
332	47751	95645
333	47878	95469
334	48046	95375
335	48184	95221
336	48356	95135
337	48506	95004
338	48652	94865
339	48795	94720
340	48936	94571
341	49076	94422
342	49216	94272
343	49359	94127
344	49501	93981
345	49644	93836
346	49824	93761
347	49977	93636
348	50163	93570
349	50320	93452
350	50465	93311
351	50601	93153
352	50759	93035
353	50901	92888
354	51052	92757
355	51174	92573
356	51321	92436
357	51497	92350
358	51622	92172
359	51768	92032
360	51915	91895
361	52084	91795
362	52231	91657
363	52339	91450
364	52521	91372
365	52649	91200
366	52810	91087
367	52925	90893
368	53074	90758
369	53234	90642
370	53389	90517
371	53510	90334
372	53635	90159
373	53760	89984
374	53909	89848
375	54053	89706
376	54244	89640
377	54418	89545
378	54553	89387
379	54710	89265
380	54842	89100
381	55006	88989
382	55143	88834
383	55285	88687
384	55428	88541
385	55600	88442
386	55760	88323
387	55910	88188
388	56047	88032
389	56198	87899
390	56362	87787
391	56499	87631
392	56652	87501
393	56791	87349
394	56943	87217
395	57085	87069
396	57244	86948
397	57377	86786
398	57547	86681
399	57674	86512
400	57837	86395
401	58001	86280
402	58181	86190
403	58357	86092
404	58520	85974
405	58675	85845
406	58817	85697
407	58956	85544
408	59127	85439
409	59268	85289
410	59400	85125
411	59546	84983
412	59702	84855
413	59837	84697
414	60004	84584
415	60157	84452
416	60301	84306
417	60452	84171
418	60580	84003
419	60751	83895
420	60920	83783
421	61053	83623
422	61196	83476
423	61352	83347
424	61532	83250
425	61685	83116
426	61856	83005
427	61992	82849
428	62127	82691
429	62284	82562
430	62434	82425
431	62601	82309
432	62766	82191
433	62908	82041
434	63077	81928
435	63205	81760
436	63375	81648
437	63551	81543
438	63686	81385
439	63858	81274
440	64033	81166
441	64197	81045
442	64353	80913
443	64497	80767
444	64641	80619
445	64796	80487
446	64937	80336
447	65089	80199
448	65245	80067
449	65403	79937
450	65558	79804
451	65719	79677
452	65881	79552
453	66038	79421
454	66216	79314
455	66381	79191
456	66547	79071
457	66711	78946
458	66871	78818
459	67010	78664
460	67178	78545
461	67313	78387
462	67457	78238
463	67625	78118
464	67788	77992
465	67940	77854
466	68092	77715
467	68249	77582
468	68394	77435
469	68554	77305
470	68712	77174
471	68867	77037
472	69044	76926
473	69205	76797
474	69316	76613
475	69449	76452
476	69609	76322
477	69777	76200
478	69933	76065
479	70073	75912
480	70208	75754
481	70337	75590
482	70528	75493
483	70691	75365
484	70859	75243
485	71029	75121
486	71180	74980
487	71349	74858
488	71490	74707
489	71638	74562
490	71793	74425
491	71988	74329
492	72155	74204
493	72328	74085
494	72498	73962
495	72675	73847
496	72810	73689
497	72953	73539
498	73115	73408
499	73261	73261
500	73372	73080
501	73507	72921
502	73673	72794
503	73846	72674
504	73989	72524
505	74162	72403
506	74329	72276
507	74508	72161
508	74689	72048
509	74834	71899
510	74952	71725
511	75111	71590
512	75258	71443
513	75427	71318
514	75576	71174
515	75706	71011
516	75856	70867
517	76003	70721
518	76178	70601
519	76346	70473
520	76512	70344
521	76670	70208
522	76810	70054
523	76949	69900
524	77073	69733
525	77223	69588
526	77396	69465
527	77538	69314
528	77659	69145
529	77830	69019
530	77995	68888
531	78158	68755
532	78307	68611
533	78437	68449
534	78565	68285
535	78695	68124
536	78852	67986
537	78985	67827
538	79147	67693
539	79315	67565
540	79448	67406
541	79586	67252
542	79747	67117
543	79899	66974
544	80038	66821
545	80186	66675
546	80347	66540
547	80504	66401
548	80656	66258
549	80804	66113
550	80991	65998
551	81142	65855
552	81300	65716
553	81474	65591
554	81614	65438
555	81784	65310
556	81920	65153
557	82055	64997
558	82228	64870
559	82404	64746
560	82567	64611
561	82717	64466
562	82874	64326
563	83006	64168
564	83127	64000
565	83255	63839
566	83394	63685
567	83560	63552
568	83694	63396
569	83831	63241
570	83961	63081
571	84097	62926
572	84241	62776
573	84393	62633
574	84527	62477
575	84665	62323
576	84812	62176
577	84945	62018
578	85061	61849
579	85204	61699
580	85347	61550
581	85495	61404
582	85623	61243
583	85785	61107
584	85933	60961
585	86068	60805
586	86212	60657
587	86347	60501
588	86517	60371
589	86655	60217
590	86789	60062
591	86946	59922
592	87089	59772
593	87266	59646
594	87422	59506
595	87596	59377
596	87729	59221
597	87882	59078
598	88026	58929
599	88166	58777
600	88312	58630
601	88460	58483
602	88612	58340
603	88760	58193
604	88891	58036
605	89054	57900
606	89199	57751
607	89385	57630
608	89528	57480
609	89697	57347
610	89833	57193
611	89970	57040
612	90163	56922
613	90326	56784
614	90488	56647
615	90615	56487
616	90780	56351
617	90955	56221
618	91090	56067
619	91256	55931
620	91401	55783
621	91540	55630
622	91691	55485
623	91814	55324
624	91955	55173
625	92076	55010
626	92233	54869
627	92374	54718
628	92525	54573
629	92667	54423
630	92834	54288
631	93002	54153
632	93141	54001
633	93304	53863
634	93452	53717
635	93618	53580
636	93790	53447
637	93950	53307
638	94111	53167
639	94278	53031
640	94434	52889
641	94596	52749
642	94745	52603
643	94878	52448
644	95035	52306
645	95205	52171
646	95371	52034
647	95531	51893
648	95685	51749
649	95852	51613
650	96021	51476
651	96190	51340
652	96349	51199
653	96489	51047
654	96638	50901
655	96798	50760
656	96963	50621
657	97108	50472
658	97282	50338
659	97426	50189
660	97595	50052
661	97736	49901
662	97891	49757
663	98053	49617
664	98203	49470
665	98325	49310
666	98493	49172
667	98657	49033
668	98805	48885
669	98936	48730
670	99104	48592
671	99287	48461
672	99450	48321
673	99594	48171
674	99742	48024
675	99918	47889
676	100057	47737
677	100211	47593
678	100366	47448
679	100513	47300
680	100670	47156
681	100839	47019
682	100986	46870
683	101153	46731
684	101313	46589
685	101473	46447
686	101609	46293
687	101786	46159
688	101952	46019
689	102091	45867
690	102240	45719
691	102395	45574
692	102546	45428
693	102691	45278
694	102836	45129
695	102993	44985
696	103142	44838
697	103307	44697
698	103467	44554
699	103616	44407
700	103743	44250
701	103870	44093
702	104018	43945
703	104186	43805
704	104329	43655
705	104473	43505
706	104617	43356
707	104777	43213
708	104916	43061
709	105078	42919
710	105225	42770
711	105362	42618
712	105503	42467
713	105645	42317
714	105802	42173
715	105926	42015
716	106058	41861
717	106210	41714
718	106360	41567
719	106521	41425
720	106694	41286
721	106855	41143
722	107017	41001
723	107181	40859
724	107333	40712
725	107486	40566
726	107636	40419
727	107771	40266
728	107936	40124
729	108088	39978
730	108233	39828
731	108373	39677
732	108528	39532
733	108678	39384
734	108822	39235
735	108993	39095
736	109113	38937
737	109247	38784
738	109405	38639
739	109534	38485
740	109651	38326
741	109771	38168
742	109907	38016
743	110071	37874
744	110186	37714
745	110351	37572
746	110517	37431
747	110683	37289
748	110807	37132
749	110964	36988
750	111112	36840
751	111288	36701
752	111432	36552
753	111601	36410
754	111762	36267
755	111918	36121
756	112056	35970
757	112228	35830
758	112402	35690
759	112558	35544
760	112723	35402
761	112880	35256
762	113060	35118
763	113203	34968
764	113355	34821
765	113520	34678
766	113659	34527
767	113815	34381
768	113957	34231
769	114098	34081
770	114240	33931
771	114397	33785
772	114557	33641
773	114704	33492
774	114852	33344
775	114996	33195
776	115158	33050
777	115315	32904
778	115469	32758
779	115610	32608
780	115757	32459
781	115915	32314
782	116076	32169
783	116241	32025
784	116384	31875
785	116548	31732
786	116678	31578
787	116813	31427
788	116970	31281
789	117118	31132
790	117234	30976
791	117398	30831
792	117537	30681
793	117687	30533
794	117860	30391
795	118009	30243
796	118182	30101
797	118344	29956
798	118497	29809
799	118670	29667
800	118827	29521
801	118987	29375
802	119149	29231
803	119303	29083
804	119439	28932
805	119607	28788
806	119743	28637
807	119892	28489
808	120052	28343
809	120219	28199
810	120385	28055
811	120532	27906
812	120695	27761
813	120858	27616
814	120996	27465
815	121158	27320
816	121320	27174
817	121491	27031
818	121652	26885
819	121817	26740
820	121975	26593
821	122157	26452
822	122315	26306
823	122487	26162
824	122638	26014
825	122762	25860
826	122920	25713
827	123059	25563
828	123228	25418
829	123378	25270
830	123518	25119
831	123683	24974
832	123851	24829
833	124021	24685
834	124172	24537
835	124307	24385
836	124450	24235
837	124594	24086
838	124766	23942
839	124927	23795
840	125060	23644
841	125206	23494
842	125377	23350
843	125514	23199
844	125664	23050
845	125828	22904
846	125998	22760
847	126175	22616
848	126306	22464
849	126465	22317
850	126619	22169
851	126777	22022
852	126938	21875
853	127066	21723
854	127225	21576
855	127345	21422
856	127493	21273
857	127651	21126
858	127799	20977
859	127963	20831
860	128130	20685
861	128268	20534
862	128428	20387
863	128573	20238
864	128691	20084
865	128826	19933
866	128989	19787
867	129138	19638
868	129292	19490
869	129457	19344
870	129626	19198
871	129772	19049
872	129882	18894
873	130013	18743
874	130182	18597
875	130335	18449
876	130499	18302
877	130675	18157
878	130798	18005
879	130969	17859
880	131093	17707
881	131235	17557
882	131372	17407
883	131496	17255
884	131633	17104
885	131801	16958
886	131959	16811
887	132085	16659
888	132230	16510
889	132395	16363
890	132562	16217
891	132708	16067
892	132895	15923
893	133055	15776
894	133240	15631
895	133388	15482
896	133531	15333
897	133692	15185
898	133861	15038
899	134024	14891
900	134147	14739
901	134328	14594
902	134486	14446
903	134660	14300
904	134824	14152
905	135012	14007
906	135154	13858
907	135327	13711
908	135468	13561
909	135603	13411
910	135770	13264
911	135934	13116
912	136115	12970
913	136268	12821
914	136439	12674
915	136613	12527
916	136785	12380
917	136917	12230
918	137086	12082
919	137258	11935
920	137427	11788
921	137589	11639
922	137743	11491
923	137927	11344
924	138127	11199
925	138298	11051
926	138456	10903
927	138634	10756
928	138814	10609
929	138987	10461
930	139160	10313
931	139324	10165
932	139497	10017
933	139651	9868
934	139804	9719
935	139977	9571
936	140155	9423
937	140330	9275
938	140481	9126
939	140610	8975
940	140756	8825
941	140914	8676
942	141088	8528
943	141247	8379
944	141409	8230
945	141576	8081
946	141718	7931
947	141869	7781
948	142017	7632
949	142152	7481
950	142292	7331
951	142416	7180
952	142586	7032
953	142735	6882
954	142892	6733
955	143045	6583
956	143216	6435
957	143333	6283
958	143474	6133
959	143629	5984
960	143775	5834
961	143904	5684
962	144059	5535
963	144203	5385
964	144351	5235
965	144514	5086
966	144653	4936
967	144828	4787
968	144983	4638
969	145132	4488
970	145283	4339
971	145436	4189
972	145597	4040
973	145749	3890
974	145888	3740
975	146029	3590
976	146169	3441
977	146331	3291
978	146503	3142
979	146651	2992
980	146789	2843
981	146951	2693
982	147092	2543
983	147272	2394
984	147418	2244
985	147578	2095
986	147730	1945
987	147892	1796
988	148041	1646
989	148170	1496
990	148306	1346
991	148460	1197
992	148607	1047
993	148765	897
994	148903	748
995	149037	598
996	149213	448
997	149373	299
998	149509	149
999	149680	0
